"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,1.34664,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,1.781894,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,2.247345,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,3.014112,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,3.382213,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,3.791927,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,4.230834,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,4.371021,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,0.2078,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,0.1274,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,0.175935,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,0.1717474,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,0.4077565,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,0.7103333,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,0.9472429,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,1.428814,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,2.037437,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,2.482955,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,3.101768,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,3.31409,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,3.740365,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,2.62,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,2.62,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,3.12,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,3.03,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,3.53,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,4.01,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,4.61,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,5.12,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,4.4,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,4.11,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,4.72,,
"IRLT","Long-term interest rates, Per cent per annum","CZE","Czech Republic","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,5.52,,
"CCUS","Currency exchange rates, monthly average","CZE","Czech Republic","M","Monthly","2021-11","Nov-2021","NATUSD","National currency per US dollar","0","Units",,,22.24491,,
